timestamp,underlying,atm_iv
2026-08-28T18:47:25.097624,QQQ,0.1186
2026-08-28T18:47:44.760015,QQQ,0.0986
2026-08-28T18:48:39.758923,QQQ,0.0996
2026-08-28T18:49:49.712582,QQQ,0.1009
2026-08-28T18:50:44.423308,QQQ,0.1171
2026-08-28T18:54:54.290228,QQQ,0.1183
2026-08-28T19:09:50.705269,QQQ,0.117
2026-08-28T19:24:54.950504,QQQ,0.1136
2026-08-28T19:39:52.319233,QQQ,0.0959
2026-08-29T06:08:20.985271,QQQ,0.1197
2026-08-29T06:25:04.755414,QQQ,0.1158
2026-08-29T06:39:44.334840,QQQ,0.1346
2026-08-29T06:54:46.965810,QQQ,0.1197
2026-08-29T07:09:31.107975,QQQ,0.1158
2026-08-29T07:24:51.687063,QQQ,0.1197
2026-08-29T07:39:37.276360,QQQ,0.1158
2026-08-29T07:54:47.727382,QQQ,0.1197
2026-08-29T08:09:39.423717,QQQ,0.1451
2026-08-29T08:24:34.254177,QQQ,0.1411
2026-08-29T08:39:39.799261,QQQ,0.1328
2026-08-29T08:54:45.711571,QQQ,0.1451
2026-08-29T09:09:49.820888,QQQ,0.1328
2026-08-29T09:24:44.923169,QQQ,0.1158
2026-08-29T09:39:39.690758,QQQ,0.1451
2026-08-29T09:54:50.423942,QQQ,0.1328
2026-08-29T10:09:41.469158,QQQ,0.1328
2026-08-29T10:24:31.645069,QQQ,0.1158
2026-08-29T10:39:42.074898,QQQ,0.1158
2026-08-29T10:54:34.472510,QQQ,0.1158
2026-08-29T11:09:41.450691,QQQ,0.1411
2026-08-29T11:24:48.760593,QQQ,0.1197
2026-08-29T11:39:44.267968,QQQ,0.1328
2026-08-29T11:54:34.535040,QQQ,0.1197
2026-08-29T14:09:32.393872,QQQ,0.1158
2026-08-29T14:24:41.491353,QQQ,0.1346
2026-08-29T14:40:11.529570,QQQ,0.1328
2026-08-29T14:54:47.804604,QQQ,0.1451
2026-08-29T15:09:42.560854,QQQ,0.1328
2026-08-29T15:24:42.831938,QQQ,0.1451
2026-08-29T15:54:33.850593,QQQ,0.1411
2026-08-29T16:09:40.316311,QQQ,0.1158
2026-08-29T16:24:32.206682,QQQ,0.1197
2026-08-29T16:39:39.623702,QQQ,0.1197
2026-08-29T16:54:33.011023,QQQ,0.1411
2026-08-29T17:09:53.679751,QQQ,0.1158
2026-08-29T17:24:33.250780,QQQ,0.1158
2026-08-29T17:39:38.680951,QQQ,0.1346
2026-08-29T17:54:38.756872,QQQ,0.1451
2026-08-29T18:09:46.268539,QQQ,0.1451
2026-08-29T18:24:40.010039,QQQ,0.1197
2026-08-29T18:39:38.384479,QQQ,0.1328
2026-08-29T18:54:40.709245,QQQ,0.1411
2026-08-29T19:09:39.744633,QQQ,0.1451
2026-08-29T19:24:34.684175,QQQ,0.1328
2026-08-29T19:39:46.776758,QQQ,0.1346
2026-08-30T03:54:42.620775,QQQ,0.1451
2026-08-30T04:09:32.522953,QQQ,0.1615
2026-08-30T04:25:45.764139,QQQ,0.169
2026-08-30T04:39:39.610602,QQQ,0.161
2026-08-30T04:54:30.380915,QQQ,0.169
