timestamp,underlying,atm_iv
2026-08-28T16:27:18.919276,SPY,0.0892
2026-08-28T18:28:58.558237,SPY,0.0764
2026-08-28T18:43:52.374586,SPY,0.0799
2026-08-28T18:44:29.824993,SPY,0.0783
2026-08-28T18:45:12.231648,SPY,0.0793
2026-08-28T18:46:49.115001,SPY,0.0737
2026-08-28T18:47:07.866052,SPY,0.0691
2026-08-28T18:48:07.113012,SPY,0.0803
2026-08-28T18:49:18.092421,SPY,0.0751
2026-08-28T18:50:11.860974,SPY,0.0809
2026-08-28T18:54:10.288650,SPY,0.0798
2026-08-28T19:09:10.062498,SPY,0.0682
2026-08-28T19:24:13.633445,SPY,0.0664
2026-08-28T19:39:10.464101,SPY,0.0771
2026-08-29T06:13:53.101646,SPY,0.0892
2026-08-29T06:24:11.121533,SPY,0.0771
2026-08-29T06:39:09.668876,SPY,0.0835
2026-08-29T06:49:52.847095,SPY,0.0835
2026-08-29T06:54:10.049932,SPY,0.0771
2026-08-29T07:09:09.821258,SPY,0.0892
2026-08-29T07:24:09.792837,SPY,0.0771
2026-08-29T07:39:12.159664,SPY,0.0835
2026-08-29T07:54:09.903186,SPY,0.0771
2026-08-29T08:09:09.915607,SPY,0.092
2026-08-29T08:24:09.791668,SPY,0.0892
2026-08-29T08:39:09.521818,SPY,0.092
2026-08-29T08:54:13.302319,SPY,0.0835
2026-08-29T09:09:10.029602,SPY,0.0892
2026-08-29T09:24:10.101394,SPY,0.0771
2026-08-29T09:39:10.954806,SPY,0.092
2026-08-29T09:54:10.187108,SPY,0.0771
2026-08-29T10:09:10.074292,SPY,0.0892
2026-08-29T10:24:09.964611,SPY,0.0892
2026-08-29T10:39:10.230123,SPY,0.0927
2026-08-29T10:54:10.385430,SPY,0.0835
2026-08-29T11:09:10.437475,SPY,0.0892
2026-08-29T11:24:10.382080,SPY,0.0892
2026-08-29T11:39:10.059973,SPY,0.0835
2026-08-29T11:54:09.935680,SPY,0.0835
2026-08-29T14:09:10.270736,SPY,0.0892
2026-08-29T14:24:10.011806,SPY,0.0927
2026-08-29T14:39:12.620819,SPY,0.0771
2026-08-29T14:54:10.063585,SPY,0.0771
2026-08-29T15:09:09.979428,SPY,0.0835
2026-08-29T15:24:09.941048,SPY,0.092
2026-08-29T15:54:10.265419,SPY,0.0927
2026-08-29T16:09:10.225006,SPY,0.092
2026-08-29T16:24:09.942927,SPY,0.0835
2026-08-29T16:39:09.677007,SPY,0.0835
2026-08-29T16:54:09.818176,SPY,0.0927
2026-08-29T17:09:10.008419,SPY,0.0771
2026-08-29T17:24:09.513236,SPY,0.0927
2026-08-29T17:39:09.338208,SPY,0.0892
2026-08-29T17:54:09.056987,SPY,0.092
2026-08-29T18:09:12.173311,SPY,0.092
2026-08-29T18:24:09.467172,SPY,0.0927
2026-08-29T18:39:09.060282,SPY,0.092
2026-08-29T18:52:02.522152,SPY,0.0835
2026-08-29T18:54:09.578815,SPY,0.092
2026-08-29T18:59:47.534846,SPY,0.0927
2026-08-29T19:09:09.248575,SPY,0.0771
2026-08-29T19:20:09.678943,SPY,0.0835
2026-08-29T19:23:12.098727,SPY,0.0892
2026-08-29T19:24:09.537289,SPY,0.0835
2026-08-29T19:24:18.731221,SPY,0.0892
2026-08-29T19:39:09.260317,SPY,0.0771
2026-08-30T03:54:09.445470,SPY,0.0835
2026-08-30T04:09:09.006983,SPY,0.1111
2026-08-30T04:24:54.464328,SPY,0.1111
2026-08-30T04:39:08.874824,SPY,0.1158
2026-08-30T04:54:09.492181,SPY,0.1158
