timestamp,underlying,atm_iv
2026-08-28T18:47:25.097624,QQQ,0.1186
2026-08-28T18:47:44.760015,QQQ,0.0986
2026-08-28T18:48:39.758923,QQQ,0.0996
2026-08-28T18:49:49.712582,QQQ,0.1009
2026-08-28T18:50:44.423308,QQQ,0.1171
2026-08-28T18:54:54.290228,QQQ,0.1183
2026-08-28T19:09:50.705269,QQQ,0.117
2026-08-28T19:24:54.950504,QQQ,0.1136
2026-08-28T19:39:52.319233,QQQ,0.0959
2026-08-31T16:33:35.163089,QQQ,0.1536
2026-08-31T16:53:18.683616,QQQ,0.16
2026-08-31T17:18:53.129486,QQQ,0.1546
2026-08-31T17:24:29.783053,QQQ,0.155
2026-08-31T17:51:37.621599,QQQ,0.1532
2026-08-31T18:06:56.351776,QQQ,0.1586
2026-08-31T18:21:26.124517,QQQ,0.1512
2026-08-31T19:16:11.051293,QQQ,0.1519
2026-08-31T19:31:11.033062,QQQ,0.1542
2026-08-31T19:46:11.519565,QQQ,0.1523
2026-09-01T15:17:12.946219,QQQ,0.1756
2026-09-01T15:32:11.510537,QQQ,0.1725
2026-09-01T15:53:48.224326,QQQ,0.1703
2026-09-01T16:08:50.791396,QQQ,0.1729
2026-09-01T16:24:57.789982,QQQ,0.1837
2026-09-01T16:39:56.994227,QQQ,0.1886
2026-09-01T16:54:54.365206,QQQ,0.1881
